State_ID,plant_id,plant_name,plant_group,min_height(ft),max_height(ft),water_necessity (1Lcup/day),maintenance,sunlight,indoor,outdoor,potted,shortest_growth_period(year),longest_growth_period(year),min_area_square_feet,Co2_absorption(kg)_per_year,O2_release(kg)_per_year,lifetime(year),lowest_temp,highest_temp,Uses,description,Current_Market_Price_MMK_per_kg,Price_Unit
SHN_S,4.0,Tomato,vegetable,2.0,6.0,4.0,Medium,Full Sun,Yes,Yes,Yes,0.25,0.5,4.0,3,2.0,1.0,10.0,35.0,"Culinary (salads, sauces, cooking), juice, medicinal (antioxidants)",Popular fruit-vegetable with many varieties; responsive to warm weather and regular water.,"2,756",MMK/kg
YGN,4.0,Tomato,vegetable,2.0,6.0,4.0,Medium,Full Sun,Yes,Yes,Yes,0.25,0.5,4.0,3,2.0,1.0,10.0,35.0,"Culinary (salads, sauces, cooking), juice, medicinal (antioxidants)",Popular fruit-vegetable with many varieties; responsive to warm weather and regular water.,"2,756",MMK/kg
MDY,4.0,Tomato,vegetable,2.0,6.0,4.0,Medium,Full Sun,Yes,Yes,Yes,0.25,0.5,4.0,3,2.0,1.0,10.0,35.0,"Culinary (salads, sauces, cooking), juice, medicinal (antioxidants)",Popular fruit-vegetable with many varieties; responsive to warm weather and regular water.,"2,756",MMK/kg
BGO,4.0,Tomato,vegetable,2.0,6.0,4.0,Medium,Full Sun,Yes,Yes,Yes,0.25,0.5,4.0,3,2.0,1.0,10.0,35.0,"Culinary (salads, sauces, cooking), juice, medicinal (antioxidants)",Popular fruit-vegetable with many varieties; responsive to warm weather and regular water.,"2,756",MMK/kg
SHN_S,5.0,Chilli,vegetable,1.0,3.0,2.0,Medium,Full Sun,Yes,Yes,Yes,0.25,0.5,2.0,2,1.0,2.0,12.0,38.0,"Culinary (spice, sauces), medicinal (metabolism booster, pain relief)","Spicy fruit used fresh or dried; prefers warm, sunny sites.","11,023",MMK/kg
YGN,5.0,Chilli,vegetable,1.0,3.0,2.0,Medium,Full Sun,Yes,Yes,Yes,0.25,0.5,2.0,2,1.0,2.0,12.0,38.0,"Culinary (spice, sauces), medicinal (metabolism booster, pain relief)","Spicy fruit used fresh or dried; prefers warm, sunny sites.","11,023",MMK/kg
MDY,5.0,Chilli,vegetable,1.0,3.0,2.0,Medium,Full Sun,Yes,Yes,Yes,0.25,0.5,2.0,2,1.0,2.0,12.0,38.0,"Culinary (spice, sauces), medicinal (metabolism booster, pain relief)","Spicy fruit used fresh or dried; prefers warm, sunny sites.","11,023",MMK/kg
BGO,5.0,Chilli,vegetable,1.0,3.0,2.0,Medium,Full Sun,Yes,Yes,Yes,0.25,0.5,2.0,2,1.0,2.0,12.0,38.0,"Culinary (spice, sauces), medicinal (metabolism booster, pain relief)","Spicy fruit used fresh or dried; prefers warm, sunny sites.","11,023",MMK/kg
AYY,6.0,Eggplant,vegetable,2.0,4.0,4.0,Medium,Full Sun,No,Yes,Yes,0.25,0.4,4.0,3,2.0,1.0,10.0,35.0,"Culinary (stir-fry, curry, roasting), medicinal (fiber, antioxidants)",Warm-season fruit with shallow roots; benefits from staking and regular feeding.,"2,143",MMK/kg
BGO,6.0,Eggplant,vegetable,2.0,4.0,4.0,Medium,Full Sun,No,Yes,Yes,0.25,0.4,4.0,3,2.0,1.0,10.0,35.0,"Culinary (stir-fry, curry, roasting), medicinal (fiber, antioxidants)",Warm-season fruit with shallow roots; benefits from staking and regular feeding.,"2,143",MMK/kg
YGN,6.0,Eggplant,vegetable,2.0,4.0,4.0,Medium,Full Sun,No,Yes,Yes,0.25,0.4,4.0,3,2.0,1.0,10.0,35.0,"Culinary (stir-fry, curry, roasting), medicinal (fiber, antioxidants)",Warm-season fruit with shallow roots; benefits from staking and regular feeding.,"2,143",MMK/kg
SHN_s,7.0,Cabbage,vegetable,1.0,2.0,4.0,Medium,Full Sun,No,Yes,No,0.25,0.5,3.0,3,2.0,1.0,5.0,28.0,"Culinary (salads, soups, fermenting), medicinal (anti-inflammatory, digestion)",Cool-season leafy vegetable forming a dense head; prefers even moisture.,"1,837",MMK/kg
MDY,7.0,Cabbage,vegetable,1.0,2.0,4.0,Medium,Full Sun,No,Yes,No,0.25,0.5,3.0,3,2.0,1.0,5.0,28.0,"Culinary (salads, soups, fermenting), medicinal (anti-inflammatory, digestion)",Cool-season leafy vegetable forming a dense head; prefers even moisture.,"1,837",MMK/kg
SAG,7.0,Cabbage,vegetable,1.0,2.0,4.0,Medium,Full Sun,No,Yes,No,0.25,0.5,3.0,3,2.0,1.0,5.0,28.0,"Culinary (salads, soups, fermenting), medicinal (anti-inflammatory, digestion)",Cool-season leafy vegetable forming a dense head; prefers even moisture.,"1,837",MMK/kg
MDY,8.0,Onion,vegetable,0.5,1.5,2.0,Low,Full Sun,Yes,Yes,Yes,0.25,0.5,1.0,2,1.0,1.0,5.0,32.0,"Cooking, flavoring, medicinal (antibacterial, cardiovascular health)",Bulb crop grown for its pungent bulb; stores well when cured.,"3,368",MMK/kg
SAG,8.0,Onion,vegetable,0.5,1.5,2.0,Low,Full Sun,Yes,Yes,Yes,0.25,0.5,1.0,2,1.0,1.0,5.0,32.0,"Cooking, flavoring, medicinal (antibacterial, cardiovascular health)",Bulb crop grown for its pungent bulb; stores well when cured.,"3,368",MMK/kg
SHN_S,8.0,Onion,vegetable,0.5,1.5,2.0,Low,Full Sun,Yes,Yes,Yes,0.25,0.5,1.0,2,1.0,1.0,5.0,32.0,"Cooking, flavoring, medicinal (antibacterial, cardiovascular health)",Bulb crop grown for its pungent bulb; stores well when cured.,"3,368",MMK/kg
YGN,8.0,Onion,vegetable,0.5,1.5,2.0,Low,Full Sun,Yes,Yes,Yes,0.25,0.5,1.0,2,1.0,1.0,5.0,32.0,"Cooking, flavoring, medicinal (antibacterial, cardiovascular health)",Bulb crop grown for its pungent bulb; stores well when cured.,"3,368",MMK/kg
MDY,9.0,Garlic,vegetable,0.5,1.5,2.0,Low,Full Sun,Yes,Yes,Yes,0.33,0.5,1.0,2,1.0,1.0,5.0,30.0,"Culinary (stir-fry, seasoning), medicinal (immune support, cardiovascular)",Pungent bulb used for flavor and traditional remedies; clove planting in cool season.,"11,023",MMK/kg
SAG,9.0,Garlic,vegetable,0.5,1.5,2.0,Low,Full Sun,Yes,Yes,Yes,0.33,0.5,1.0,2,1.0,1.0,5.0,30.0,"Culinary (stir-fry, seasoning), medicinal (immune support, cardiovascular)",Pungent bulb used for flavor and traditional remedies; clove planting in cool season.,"11,023",MMK/kg
SHN_S,9.0,Garlic,vegetable,0.5,1.5,2.0,Low,Full Sun,Yes,Yes,Yes,0.33,0.5,1.0,2,1.0,1.0,5.0,30.0,"Culinary (stir-fry, seasoning), medicinal (immune support, cardiovascular)",Pungent bulb used for flavor and traditional remedies; clove planting in cool season.,"11,023",MMK/kg
SHN_S,10.0,Potato,vegetable,1.0,2.5,2.0,Medium,Full Sun,No,Yes,Yes,0.25,0.4,2.0,3,2.0,1.0,4.0,30.0,"Cooking (boiled, fried, baking), starch source",Tubers grown underground; prefers loose soil and hilling for tuber development.,"2,940",MMK/kg
CHN,10.0,Potato,vegetable,1.0,2.5,2.0,Medium,Full Sun,No,Yes,Yes,0.25,0.4,2.0,3,2.0,1.0,4.0,30.0,"Cooking (boiled, fried, baking), starch source",Tubers grown underground; prefers loose soil and hilling for tuber development.,"2,940",MMK/kg
KCH,10.0,Potato,vegetable,1.0,2.5,2.0,Medium,Full Sun,No,Yes,Yes,0.25,0.4,2.0,3,2.0,1.0,4.0,30.0,"Cooking (boiled, fried, baking), starch source",Tubers grown underground; prefers loose soil and hilling for tuber development.,"2,940",MMK/kg
SHN_S,11.0,Ginger,vegetable,1.0,3.0,4.0,Medium,Partial Sun,Yes,Yes,Yes,0.5,1.0,2.0,2,1.0,4.0,12.0,35.0,"Culinary (tea, cooking), medicinal (digestion, nausea relief)","Aromatic rhizome used fresh or dried; likes warm, humid conditions and filtered sun.","5,205",MMK/kg
KYN,11.0,Ginger,vegetable,1.0,3.0,4.0,Medium,Partial Sun,Yes,Yes,Yes,0.5,1.0,2.0,2,1.0,4.0,12.0,35.0,"Culinary (tea, cooking), medicinal (digestion, nausea relief)","Aromatic rhizome used fresh or dried; likes warm, humid conditions and filtered sun.","5,205",MMK/kg
TNY,11.0,Ginger,vegetable,1.0,3.0,4.0,Medium,Partial Sun,Yes,Yes,Yes,0.5,1.0,2.0,2,1.0,4.0,12.0,35.0,"Culinary (tea, cooking), medicinal (digestion, nausea relief)","Aromatic rhizome used fresh or dried; likes warm, humid conditions and filtered sun.","5,205",MMK/kg
SHN_S,12.0,Turmeric,vegetable,1.0,3.0,4.0,Medium,Partial Sun,Yes,Yes,Yes,0.5,1.0,2.0,2,1.0,4.0,10.0,35.0,"Culinary (spice, curry), medicinal (anti-inflammatory, antioxidant)",Golden rhizome used in cooking and traditional medicine; similar requirements to ginger.,"6,124",MMK/kg
KYN,12.0,Turmeric,vegetable,1.0,3.0,4.0,Medium,Partial Sun,Yes,Yes,Yes,0.5,1.0,2.0,2,1.0,4.0,10.0,35.0,"Culinary (spice, curry), medicinal (anti-inflammatory, antioxidant)",Golden rhizome used in cooking and traditional medicine; similar requirements to ginger.,"6,124",MMK/kg
MON,12.0,Turmeric,vegetable,1.0,3.0,4.0,Medium,Partial Sun,Yes,Yes,Yes,0.5,1.0,2.0,2,1.0,4.0,10.0,35.0,"Culinary (spice, curry), medicinal (anti-inflammatory, antioxidant)",Golden rhizome used in cooking and traditional medicine; similar requirements to ginger.,"6,124",MMK/kg
AYY,13.0,Pumpkin,vegetable,1.0,2.0,4.0,Medium,Full Sun,No,Yes,No,0.25,0.5,9.0,4,3.0,1.0,12.0,35.0,"Cooking (soups, baking), desserts, medicinal (vitamin-rich)",Vining crop producing large fruits; needs space and fertile soil.,"1,531",MMK/kg
BGO,13.0,Pumpkin,vegetable,1.0,2.0,4.0,Medium,Full Sun,No,Yes,No,0.25,0.5,9.0,4,3.0,1.0,12.0,35.0,"Cooking (soups, baking), desserts, medicinal (vitamin-rich)",Vining crop producing large fruits; needs space and fertile soil.,"1,531",MMK/kg
YGN,13.0,Pumpkin,vegetable,1.0,2.0,4.0,Medium,Full Sun,No,Yes,No,0.25,0.5,9.0,4,3.0,1.0,12.0,35.0,"Cooking (soups, baking), desserts, medicinal (vitamin-rich)",Vining crop producing large fruits; needs space and fertile soil.,"1,531",MMK/kg
AYY,14.0,Cucumber,vegetable,1.0,6.0,4.0,Medium,Full Sun,No,Yes,Yes,0.15,0.3,4.0,2,2.0,1.0,12.0,35.0,"Culinary (salads, pickling), medicinal (hydration, skin care)",High-water content fruit grown on vines; prefers regular water and warmth.,"1,715",MMK/kg
BGO,14.0,Cucumber,vegetable,1.0,6.0,4.0,Medium,Full Sun,No,Yes,Yes,0.15,0.3,4.0,2,2.0,1.0,12.0,35.0,"Culinary (salads, pickling), medicinal (hydration, skin care)",High-water content fruit grown on vines; prefers regular water and warmth.,"1,715",MMK/kg
MDY,14.0,Cucumber,vegetable,1.0,6.0,4.0,Medium,Full Sun,No,Yes,Yes,0.15,0.3,4.0,2,2.0,1.0,12.0,35.0,"Culinary (salads, pickling), medicinal (hydration, skin care)",High-water content fruit grown on vines; prefers regular water and warmth.,"1,715",MMK/kg
SHN_S,15.0,Lettuce,vegetable,0.2,0.5,2.0,Low,Partial Sun,Yes,Yes,Yes,0.08,0.2,1.0,0.8,0.5,1.0,4.0,25.0,"Salads, sandwiches, wraps, culinary garnish",Quick-maturing leafy green; prefers cool conditions and consistent moisture.,"3,674",MMK/kg
MDY,15.0,Lettuce,vegetable,0.2,0.5,2.0,Low,Partial Sun,Yes,Yes,Yes,0.08,0.2,1.0,0.8,0.5,1.0,4.0,25.0,"Salads, sandwiches, wraps, culinary garnish",Quick-maturing leafy green; prefers cool conditions and consistent moisture.,"3,674",MMK/kg
CHN,15.0,Lettuce,vegetable,0.2,0.5,2.0,Low,Partial Sun,Yes,Yes,Yes,0.08,0.2,1.0,0.8,0.5,1.0,4.0,25.0,"Salads, sandwiches, wraps, culinary garnish",Quick-maturing leafy green; prefers cool conditions and consistent moisture.,"3,674",MMK/kg
SHN_S,16.0,Pea plant,vegetable,1.0,6.0,2.0,Medium,Full Sun,Yes,Yes,Yes,0.17,0.33,2.0,2,1.0,1.0,5.0,28.0,"Fresh pods, dried peas, cooking, snacking",Nitrogen-fixing legume; climbs with support and produces edible pods.,"5,000",MMK/kg
MDY,16.0,Pea plant,vegetable,1.0,6.0,2.0,Medium,Full Sun,Yes,Yes,Yes,0.17,0.33,2.0,2,1.0,1.0,5.0,28.0,"Fresh pods, dried peas, cooking, snacking",Nitrogen-fixing legume; climbs with support and produces edible pods.,"5,000",MMK/kg
SAG,16.0,Pea plant,vegetable,1.0,6.0,2.0,Medium,Full Sun,Yes,Yes,Yes,0.17,0.33,2.0,2,1.0,1.0,5.0,28.0,"Fresh pods, dried peas, cooking, snacking",Nitrogen-fixing legume; climbs with support and produces edible pods.,"5,000",MMK/kg
SHN_S,17.0,Corn,vegetable,3.0,8.0,8.0,Medium,Full Sun,No,Yes,No,0.25,0.5,2.0,6,4.0,1.0,10.0,35.0,"Grain, feed, cooking, culinary (cornmeal, corn syrup)",Tall annual cereal grown for grain; needs fertile soil and full sun.,"1,837",MMK/kg
SAG,17.0,Corn,vegetable,3.0,8.0,8.0,Medium,Full Sun,No,Yes,No,0.25,0.5,2.0,6,4.0,1.0,10.0,35.0,"Grain, feed, cooking, culinary (cornmeal, corn syrup)",Tall annual cereal grown for grain; needs fertile soil and full sun.,"1,837",MMK/kg
MDY,17.0,Corn,vegetable,3.0,8.0,8.0,Medium,Full Sun,No,Yes,No,0.25,0.5,2.0,6,4.0,1.0,10.0,35.0,"Grain, feed, cooking, culinary (cornmeal, corn syrup)",Tall annual cereal grown for grain; needs fertile soil and full sun.,"1,837",MMK/kg
MDY,19.0,Sweet potato,vegetable,1.0,3.0,4.0,Low,Full Sun,No,Yes,Yes,0.33,0.75,3.0,3,2.0,1.0,10.0,35.0,"Roots cooked, baking, desserts, medicinal (fiber, vitamin A)",Vining root crop producing starchy tubers; tolerant of poorer soils.,"2,143",MMK/kg
SHN_S,19.0,Sweet potato,vegetable,1.0,3.0,4.0,Low,Full Sun,No,Yes,Yes,0.33,0.75,3.0,3,2.0,1.0,10.0,35.0,"Roots cooked, baking, desserts, medicinal (fiber, vitamin A)",Vining root crop producing starchy tubers; tolerant of poorer soils.,"2,143",MMK/kg
SAG,19.0,Sweet potato,vegetable,1.0,3.0,4.0,Low,Full Sun,No,Yes,Yes,0.33,0.75,3.0,3,2.0,1.0,10.0,35.0,"Roots cooked, baking, desserts, medicinal (fiber, vitamin A)",Vining root crop producing starchy tubers; tolerant of poorer soils.,"2,143",MMK/kg
AYY,20.0,Guava,fruit,10.0,20.0,20.0,Low,Full Sun,No,Yes,Yes,2.0,3.0,25.0,25,18.0,25.0,10.0,38.0,"Fresh fruit, jams, medicinal (digestion, immune support)",Hardy tropical tree with sweet-tart fruits; tolerates a range of soils.,"2,450",MMK/kg
BGO,20.0,Guava,fruit,10.0,20.0,20.0,Low,Full Sun,No,Yes,Yes,2.0,3.0,25.0,25,18.0,25.0,10.0,38.0,"Fresh fruit, jams, medicinal (digestion, immune support)",Hardy tropical tree with sweet-tart fruits; tolerates a range of soils.,"2,450",MMK/kg
MDY,20.0,Guava,fruit,10.0,20.0,20.0,Low,Full Sun,No,Yes,Yes,2.0,3.0,25.0,25,18.0,25.0,10.0,38.0,"Fresh fruit, jams, medicinal (digestion, immune support)",Hardy tropical tree with sweet-tart fruits; tolerates a range of soils.,"2,450",MMK/kg
YGN,20.0,Guava,fruit,10.0,20.0,20.0,Low,Full Sun,No,Yes,Yes,2.0,3.0,25.0,25,18.0,25.0,10.0,38.0,"Fresh fruit, jams, medicinal (digestion, immune support)",Hardy tropical tree with sweet-tart fruits; tolerates a range of soils.,"2,450",MMK/kg
AYY,21.0,Papaya,fruit,6.0,15.0,20.0,Low,Full Sun,No,Yes,No,0.5,2.0,16.0,10,7.0,6.0,10.0,40.0,"Fresh fruit, salads, digestive aid, medicinal (papain enzyme)",Fast-growing tropical plant producing sweet fruits within a year under good conditions.,"1,837",MMK/kg
BGO,21.0,Papaya,fruit,6.0,15.0,20.0,Low,Full Sun,No,Yes,No,0.5,2.0,16.0,10,7.0,6.0,10.0,40.0,"Fresh fruit, salads, digestive aid, medicinal (papain enzyme)",Fast-growing tropical plant producing sweet fruits within a year under good conditions.,"1,837",MMK/kg
BGO,21.0,Papaya,fruit,6.0,15.0,20.0,Low,Full Sun,No,Yes,No,0.5,2.0,16.0,10,7.0,6.0,10.0,40.0,"Fresh fruit, salads, digestive aid, medicinal (papain enzyme)",Fast-growing tropical plant producing sweet fruits within a year under good conditions.,"1,837",MMK/kg
YGN,21.0,Papaya,fruit,6.0,15.0,20.0,Low,Full Sun,No,Yes,No,0.5,2.0,16.0,10,7.0,6.0,10.0,40.0,"Fresh fruit, salads, digestive aid, medicinal (papain enzyme)",Fast-growing tropical plant producing sweet fruits within a year under good conditions.,"1,837",MMK/kg
AYY,22.0,Banana,fruit,6.0,25.0,13.0,Medium,Full Sun,No,Yes,Yes,0.75,2.0,16.0,20,14.0,7.0,10.0,38.0,"Fresh fruit, desserts, baking, medicinal (potassium, digestion)",Large herbaceous plant producing clusters of sweet fruit; needs regular water and nutrients.,"3,500",MMK/kg
TNY,22.0,Banana,fruit,6.0,25.0,13.0,Medium,Full Sun,No,Yes,Yes,0.75,2.0,16.0,20,14.0,7.0,10.0,38.0,"Fresh fruit, desserts, baking, medicinal (potassium, digestion)",Large herbaceous plant producing clusters of sweet fruit; needs regular water and nutrients.,"3,500",MMK/kg
YGN,22.0,Banana,fruit,6.0,25.0,13.0,Medium,Full Sun,No,Yes,Yes,0.75,2.0,16.0,20,14.0,7.0,10.0,38.0,"Fresh fruit, desserts, baking, medicinal (potassium, digestion)",Large herbaceous plant producing clusters of sweet fruit; needs regular water and nutrients.,"3,500",MMK/kg
MON,22.0,Banana,fruit,6.0,25.0,13.0,Medium,Full Sun,No,Yes,Yes,0.75,2.0,16.0,20,14.0,7.0,10.0,38.0,"Fresh fruit, desserts, baking, medicinal (potassium, digestion)",Large herbaceous plant producing clusters of sweet fruit; needs regular water and nutrients.,"3,500",MMK/kg
SHN_S,23.0,Cauliflower,vegetable,1.0,2.0,4.0,Medium,Partial Sun,Yes,Yes,Yes,0.33,0.5,3.0,3,2.0,1.0,5.0,30.0,"Cooking (steamed, stir-fry), salads, nutritional",Cool-season crucifer producing an edible head; sensitive to heat.,"3,062",MMK/kg
MDY,23.0,Cauliflower,vegetable,1.0,2.0,5.0,Medium,Partial Sun,Yes,Yes,Yes,0.33,0.5,3.0,3,2.0,1.0,5.0,30.0,"Cooking (steamed, stir-fry), salads, nutritional",Cool-season crucifer producing an edible head; sensitive to heat.,"3,062",MMK/kg
SAG,23.0,Cauliflower,vegetable,1.0,2.0,6.0,Medium,Partial Sun,Yes,Yes,Yes,0.33,0.5,3.0,3,2.0,1.0,5.0,30.0,"Cooking (steamed, stir-fry), salads, nutritional",Cool-season crucifer producing an edible head; sensitive to heat.,"3,062",MMK/kg
SHN_S,24.0,Strawberry,fruit,0.1,0.6,1.0,Medium,Full Sun,Yes,Yes,Yes,0.25,0.5,1.0,3,1.0,2.0,-5.0,30.0,"Fresh fruit, desserts, jams, culinary garnish",Low-growing perennial in cool climates; produces sweet strawberries in spring-summer.,"15,310",MMK/kg
SHN_S,25.0,Carrot,vegetable,0.5,1.0,2.0,Low,Full Sun,Yes,Yes,Yes,0.25,0.5,1.0,3,1.0,1.0,4.0,30.0,"Fresh, cooking, juice, medicinal (vision, antioxidants)","Root vegetable forming a taproot; prefers deep, stone-free soil for straight roots.","3,674",MMK/kg
CHN,25.0,Carrot,vegetable,0.5,1.0,2.0,Low,Full Sun,Yes,Yes,Yes,0.25,0.5,1.0,3,1.0,1.0,4.0,30.0,"Fresh, cooking, juice, medicinal (vision, antioxidants)","Root vegetable forming a taproot; prefers deep, stone-free soil for straight roots.","3,674",MMK/kg
SHN_S,28.0,Orange,fruit,12.0,30.0,4.0,Medium,Full Sun,No,Yes,Yes,3.0,6.0,25.0,35,25.0,40.0,-3.0,40.0,"Fresh fruit, juice, marmalade, medicinal (vitamin C)",Citrus tree producing sweet-sour fruit; needs frost-free winters and regular feeding.,"5,512",MMK/kg
MDY,28.0,Orange,fruit,12.0,30.0,5.0,Medium,Full Sun,No,Yes,Yes,3.0,6.0,25.0,35,25.0,40.0,-3.0,40.0,"Fresh fruit, juice, marmalade, medicinal (vitamin C)",Citrus tree producing sweet-sour fruit; needs frost-free winters and regular feeding.,"5,512",MMK/kg
SHN_S,29.0,Apple,fruit,10.0,30.0,6.0,High,Full Sun,No,Yes,Yes,3.0,8.0,25.0,40,30.0,50.0,-10.0,35.0,"Fresh fruit, desserts, baking, juice, jams",Deciduous tree producing apples; requires chill hours and well-managed pruning.,"14,000",MMK/kg
TNY,30.0,Pineapple,fruit,1.0,4.0,7.0,Low,Full Sun,Yes,Yes,Yes,1.0,2.0,4.0,1,0.6,7.0,10.0,35.0,"Fresh fruit, juice, desserts, culinary, medicinal (digestion)","Tropical plant with spiky leaves and a sweet, juicy fruit with rough skin.","3,500",MMK/kg
MON,30.0,Pineapple,fruit,1.0,4.0,8.0,Low,Full Sun,Yes,Yes,Yes,1.0,2.0,4.0,1,0.6,7.0,10.0,35.0,"Fresh fruit, juice, desserts, culinary, medicinal (digestion)","Tropical plant with spiky leaves and a sweet, juicy fruit with rough skin.","3,500",MMK/kg
YGN,30.0,Pineapple,fruit,1.0,4.0,8.0,Low,Full Sun,Yes,Yes,Yes,1.0,2.0,4.0,1,0.6,7.0,10.0,35.0,"Fresh fruit, juice, desserts, culinary, medicinal (digestion)","Tropical plant with spiky leaves and a sweet, juicy fruit with rough skin.","3,500",MMK/kg
AYY,31.0,Watermelon,fruit,0.6,2.0,20.0,Medium,Full Sun,No,Yes,Yes,0.3,0.5,12.0,2,0.9,0.5,12.0,40.0,"Fresh fruit, juice, salads, cooling effect","Large vine-grown fruit with green rind and red, juicy flesh with black seeds.","2,000",MMK/kg
BGO,31.0,Watermelon,fruit,0.6,2.0,20.0,Medium,Full Sun,No,Yes,Yes,0.3,0.5,12.0,2,0.9,0.5,12.0,40.0,"Fresh fruit, juice, salads, cooling effect","Large vine-grown fruit with green rind and red, juicy flesh with black seeds.","2,000",MMK/kg
MDY,31.0,Watermelon,fruit,0.6,2.0,20.0,Medium,Full Sun,No,Yes,Yes,0.3,0.5,12.0,2,0.9,0.5,12.0,40.0,"Fresh fruit, juice, salads, cooling effect","Large vine-grown fruit with green rind and red, juicy flesh with black seeds.","2,000",MMK/kg
YGN,32.0,Dragon fruit,fruit,3.0,10.0,4.0,Medium,Full Sun,Yes,Yes,Yes,0.5,1.0,9.0,1,0.7,20.0,15.0,38.0,"Fresh fruit, juice, desserts, medicinal (antioxidants, hydration)",Cactus with bright pink or yellow skin and white or red speckled flesh with tiny black seeds.,"4,899",MMK/kg
AYY,32.0,Dragon fruit,fruit,3.0,10.0,4.0,Medium,Full Sun,Yes,Yes,Yes,0.5,1.0,9.0,1,0.7,20.0,15.0,38.0,"Fresh fruit, juice, desserts, medicinal (antioxidants, hydration)",Cactus with bright pink or yellow skin and white or red speckled flesh with tiny black seeds.,"4,899",MMK/kg
BGO,32.0,Dragon fruit,fruit,3.0,10.0,4.0,Medium,Full Sun,Yes,Yes,Yes,0.5,1.0,9.0,1,0.7,20.0,15.0,38.0,"Fresh fruit, juice, desserts, medicinal (antioxidants, hydration)",Cactus with bright pink or yellow skin and white or red speckled flesh with tiny black seeds.,"4,899",MMK/kg
AYY,33.0,Rambutan,fruit,15.0,50.0,13.0,High,Full Sun,No,Yes,No,4.0,6.0,40.0,22,12.0,40.0,-2.0,40.0,"Fresh fruit, desserts, juice","Tropical tree fruit covered with soft spines, enclosing sweet, translucent flesh.","7,349",MMK/kg
